col0,col1,col2,col3
Lynæs,Denmark,fishing village,Halsnæs Municipality
Canto de Atins,Brazil,fishing village,Barreirinhas
Thorup Strand,Denmark,fishing village,Jammerbugt Municipality
Sund,Norway,fishing village,Flakstad
Svanshall,Sweden,fishing village,Höganäs Municipality
Little Lorraine,Canada,fishing village,Cape Breton Regional Municipality
Job's Cove,Canada,fishing village,"Division No. 1, Subdivision G"
Holmengrå,Norway,fishing village,Sør-Varanger
Repvåg,Norway,fishing village,Nordkapp
Tind,Norway,fishing village,Moskenes
Støtt,Norway,fishing village,Meløy
Rødsand,Norway,fishing village,Tranøy
Borstahusen,Sweden,fishing village,Landskrona Municipality
