col0,col1,col2,col3,col4,col5
Ass Nor OB 1,-35.6,J2000.0,Norma,239.5,asterism
Ass Per OB 2,21.2,J2000.0,Perseus,55.55,asterism
Pleiades,5.65,J2000.0,Taurus,56.75,astrophysical X-ray source
Big Dipper,-25.91,J2000.0,Norma,247.0230492984283,low mass x-ray binary
Scorpius–Centaurus Association,-4.1,J2000.0,Centaurus,243.75,OB association
NGC 2367,43,J2000.0,Canis Major,110.025,stellar association
Trapezium Cluster,28.94,J2000.0,Orion,83.81875,stellar association
NGC 1746,2,J2000.0,Taurus,75.9583,star cluster
NGC 2367,43,J2000.0,Canis Major,110.025,open cluster
NGC 1746,2,J2000.0,Taurus,75.9583,open cluster
Pleiades,5.65,J2000.0,Taurus,56.75,open cluster
NGC 2367,43,J2000.0,Canis Major,110.025,asterism
NGC 1746,2,J2000.0,Taurus,75.9583,asterism
