col0,col1,col2,col3
Basketball-Reference.com WNBA coach ID,WNBA player ID,Basketball-Reference.com,Wikidata property related to women's sport
Basketball-Reference.com WNBA player ID,Basketball-Reference.com NBA player ID,Basketball-Reference.com,Wikidata property related to women's sport
Women's Basketball Hall of Fame ID,WNBA player ID,Women's Basketball Hall of Fame,Wikidata property related to women's sport
Women's Collegiate Tennis Hall of Fame ID,Tennis Hall of Fame player ID,Women's Collegiate Tennis Hall of Fame,Wikidata property related to women's sport
LFB player ID,WNBA player ID,Ligue Féminine de Basketball,Wikidata property related to women's sport
Soccerdonna player ID,Footoféminin.fr player ID,Soccerdonna,Wikidata property related to women's sport
LFH player ID,LNH player ID,Ligue Féminine de Handball,Wikidata property related to women's sport
Lega Pallavolo Serie A Femminile player ID,Lega Pallavolo Serie A player ID,Lega Pallavolo Serie A femminile,Wikidata property related to women's sport
ALPG Tour golf player ID,LPGA Tour golf player ID,ALPG Tour,Wikidata property related to women's sport
Track and Field Statistics female athlete ID,Track and Field Statistics male athlete ID,Track and Field Statistics,Wikidata property related to women's sport
Ladies European Tour golf player ID,LPGA Tour golf player ID,Ladies European Tour,Wikidata property related to women's sport
Tilastopaja female athlete ID,Tilastopaja male athlete ID,Tilastopaja,Wikidata property related to women's sport
