col0,col1,col2,col3,col4
RB 8,Lower Saxony,cantus Verkehrsgesellschaft,1435 mm track gauge,Regionalbahn
RB 7,Lower Saxony,cantus Verkehrsgesellschaft,1435 mm track gauge,Regionalbahn
RB 6,Hesse,cantus Verkehrsgesellschaft,1435 mm track gauge,Regionalbahn
RB 31,Saxony,DB Regio Südost,1435 mm track gauge,Regionalbahn
RB 18,Baden-Württemberg,Abellio Rail Baden-Württemberg,1435 mm track gauge,Regionalbahn
RB 16,Baden-Württemberg,Go-Ahead Baden-Württemberg GmbH,1435 mm track gauge,Regionalbahn
RB 56,Baden-Württemberg,Hohenzollerische Landesbahn,1435 mm track gauge,Regionalbahn
RB 61,Baden-Württemberg,DB Regio Mitte,1435 mm track gauge,Regionalbahn
RB 17C,Baden-Württemberg,Abellio Rail Baden-Württemberg,1435 mm track gauge,Regionalbahn
RB 17A,Baden-Württemberg,Abellio Rail Baden-Württemberg,1435 mm track gauge,Regionalbahn
RB 57,Baden-Württemberg,Hohenzollerische Landesbahn,1435 mm track gauge,Regionalbahn
RB 13,Baden-Württemberg,Go-Ahead Baden-Württemberg GmbH,1435 mm track gauge,Regionalbahn
RB 11,Baden-Württemberg,DB Regio Baden-Württemberg,1435 mm track gauge,Regionalbahn
RB 56,Lower Saxony,Bentheimer Eisenbahn,1435 mm track gauge,Regionalbahn
RB 11,Brandenburg,DB Regio Nordost,1435 mm track gauge,Regionalbahn
