col0,col1,col2,col3,col4
Monster Trucks,6+,Paramount Pictures,9,2017-01-13
Fantastic Beasts and Where to Find Them,12+,Warner Bros.,9,2016-11-16
Ratchet & Clank,6+,Rainmaker Entertainment,6,2016-01-01
Zootopia,6+,Walt Disney Animation Studios,6,2016-01-01
Ice Age: Collision Course,6+,Blue Sky Studios,6,2016-06-30
Kung Fu Panda 3,6+,DreamWorks Animation,6,2016-01-29
Trolls,6+,DreamWorks Animation,6,2016-11-02
Zootopia,6+,Walt Disney Pictures,6,2016-01-01
Star Trek Beyond,12+,Bad Robot Productions,12,2016-07-07
Independence Day: Resurgence,12+,20th Century Studios,12,2016-06-23
The Great Wall,12+,Universal Studios,12,2016-12-16
Teenage Mutant Ninja Turtles: Out of the Shadows,6+,Paramount Pictures,12,2016-05-22
Fantastic Beasts and Where to Find Them,12+,Warner Bros.,9,2016-11-17
