col0,col1,col2,col3,col4,col5
NGC 3448,54.3052278,163.6635,23.8,1789-04-17,William Herschel
NGC 3432,36.6187778,163.1297167,13.87,1787-03-19,William Herschel
NGC 3414,27.9749667,162.817675,25.7,1785-04-11,William Herschel
NGC 3104,40.761509,150.988271,7.66,1787-03-18,William Herschel
NGC 2872,11.4321389,141.4272458,48.1,1784-03-15,William Herschel
NGC 2854,49.2042957456882,141.0135174950731,25,1788-03-09,William Herschel
NGC 2679,30.8653345997071,132.8872565686762,31.1,1785-03-13,William Herschel
NGC 2672,19.0749611,132.3412333,63.2,1784-03-14,William Herschel
NGC 2648,14.2855028,130.6659375,30.3,1784-03-19,William Herschel
NGC 2608,28.4734023755302,128.8222097404772,19.68,1785-03-12,William Herschel
NGC 1253,-2.82295,48.5376875,20.89,1784-09-20,William Herschel
NGC 1134,13.0142238418593,43.4223336621025,35.16,1784-10-16,William Herschel
NGC 1024,10.8468111,39.7998542,51.52,1786-09-18,William Herschel
NGC 523,34.0251583,21.3364375,59.43,1784-09-13,William Herschel
NGC 2543,36.2545083,123.2414792,33.42,1788-02-03,William Herschel
