col0,col1,col2,col3
Birmingham,Birmingham,Alabama,United States of America
Dunedin,Dunedin,Otago Region,New Zealand
Wolverhampton,Wolverhampton,City of Wolverhampton,United Kingdom
Norwich,Norwich,Norfolk,United Kingdom
Beaumont,Beaumont,Jefferson County,United States of America
Santa Clara,Santa Clara,Santa Clara County,United States of America
North Las Vegas,North Las Vegas,Clark County,United States of America
Arlington County,Arlington County,Virginia,United States of America
Doncaster,Doncaster,Doncaster,United Kingdom
Salford,Salford,Salford,United Kingdom
Norwich,Norwich,Norwich,United Kingdom
Stoke-on-Trent,City of Stoke-on-Trent,City of Stoke-on-Trent,United Kingdom
Exeter,City of Exeter,Exeter,United Kingdom
Patna,pataliputra,Patna district,India
