col0,col1,col2,col3,col4,col5,col6
1984 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1984 Finnish Badminton Championships – Men's doubles,1984-01-01,1983 Finnish Badminton Championships
1983 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1983 Finnish Badminton Championships – Men's doubles,1983-01-01,1982 Finnish Badminton Championships
1982 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1982 Finnish Badminton Championships – Men's doubles,1982-01-01,1981 Finnish Badminton Championships
1981 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1981 Finnish Badminton Championships – Men's doubles,1981-01-01,1980 Finnish Badminton Championships
1980 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1980 Finnish Badminton Championships – Men's doubles,1980-01-01,1979 Finnish Badminton Championships
1979 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1979 Finnish Badminton Championships – Men's doubles,1979-01-01,1978 Finnish Badminton Championships
1978 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1978 Finnish Badminton Championships – Men's doubles,1978-01-01,1977 Finnish Badminton Championships
1977 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1977 Finnish Badminton Championships – Men's doubles,1977-01-01,1976 Finnish Badminton Championships
1976 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1976 Finnish Badminton Championships – Men's doubles,1976-01-01,1975 Finnish Badminton Championships
1975 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1975 Finnish Badminton Championships – Men's doubles,1975-01-01,1974 Finnish Badminton Championships
1971 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,1971 Finnish Badminton Championships – Men's doubles,1971-01-01,1970 Finnish Badminton Championships
2016 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,2016 Finnish Badminton Championships – Men's singles,2016-01-01,2015 Finnish Badminton Championships
2015 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,2015 Finnish Badminton Championships – Men's singles,2015-01-01,2014 Finnish Badminton Championships
2014 Finnish Badminton Championships,Finnish Badminton Championships,WikiProject Badminton/tournament focus list,badminton,2014 Finnish Badminton Championships – Men's singles,2014-01-01,2013 Finnish Badminton Championships
