col0,col1,col2,col3,col4,col5
HD 166,BY Draconis variable,J2000.0,33880,infrared source,5465
HD 128311,BY Draconis variable,J2000.0,41000,infrared source,5040
58 Eridani,BY Draconis variable,J2000.0,33100,infrared source,5888
Gliese 174,BY Draconis variable,J2000.0,46000,infrared source,4393
EZ Aquarii,flare star,J2000.0,123000,infrared source,2952
Gliese 876,BY Draconis variable,J2000.0,85000,infrared source,3935
12 Ophiuchi,BY Draconis variable,J2000.0,34000,infrared source,5223
Zeta Puppis,Alpha Cygni variable,J2000.0,4400,infrared source,40000
9 Ceti,BY Draconis variable,J2000.0,28840,astrophysical X-ray source,5817
HD 166,BY Draconis variable,J2000.0,33880,astrophysical X-ray source,5465
HD 128311,BY Draconis variable,J2000.0,41000,astrophysical X-ray source,5040
58 Eridani,BY Draconis variable,J2000.0,33100,astrophysical X-ray source,5888
Gliese 174,BY Draconis variable,J2000.0,46000,astrophysical X-ray source,4393
