col0,col1,col2,col3,col4,col5,col6
Berts bravader,1991-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,young adult literature
Bert och beundrarinnorna,1997-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,young adult literature
Bert och brorsorna,1995-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,young adult literature
Bert och bacillerna,1997-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,young adult literature
Bert och Boysen,1996-01-01,Rabén & Sjögren,Öreskoga,Sonja Härdin,Anders Jacobsson,young adult literature
Berts bravader,1991-01-01,Rabén & Sjögren,Gotland,Sonja Härdin,Anders Jacobsson,young adult literature
Berts första betraktelser,1990-01-01,Rabén & Sjögren,Åland Islands,Sonja Härdin,Anders Jacobsson,young adult literature
Bert Babyface,1998-01-01,Rabén & Sjögren,New York,Sonja Härdin,Anders Jacobsson,young adult literature
Berts vidare betraktelser,1990-01-01,Rabén & Sjögren,New York City,Sonja Härdin,Anders Jacobsson,young adult literature
Berts bokslut,1999-01-01,Rabén & Sjögren,Europe,Sonja Härdin,Anders Jacobsson,young adult literature
Berts bravader,1991-01-01,Rabén & Sjögren,Denmark,Sonja Härdin,Anders Jacobsson,young adult literature
Bert och brorsorna,1995-01-01,Rabén & Sjögren,Denmark,Sonja Härdin,Anders Jacobsson,young adult literature
