col0,col1,col2,col3
Orsa landskommun,Orsa Municipality,Dalarna County,Sweden
Ore Municipality,Rättvik Municipality,Dalarna County,Sweden
Nättraby municipality,Karlskrona Municipality,Blekinge County,Sweden
Månstorp municipality,Vellinge Municipality,Malmöhus County,Sweden
Norra Kinda Municipality,Kinda Municipality,Östergötland County,Sweden
Noraström Municipality,Kramfors Municipality,Västernorrland County,Sweden
Njurunda Municipality,Sundsvall Municipality,Västernorrland County,Sweden
Nacka Rural Municipality,Nacka city,Stockholm County,Sweden
Norrfjärdens Rural Municipality,Piteå Town,Norrbotten County,Sweden
Nederluleå Rural Municipality,Luleå Town,Norrbotten County,Sweden
