col0,col1,col2,col3,col4,col5,col6,col7
Pixley ka Seme District Municipality,Kareeberg Local Municipality,South Africa,186351,De Aar,Namakwa District Municipality,district municipality of South Africa,1073
Nkangala District Municipality,Victor Khanye Local Municipality,South Africa,1308129,Middelburg,Sedibeng District Municipality,district municipality of South Africa,1500
Lejweleputswa District Municipality,Tswelopele Local Municipality,South Africa,627626,Welkom,Frances Baard District Municipality,district municipality of South Africa,1376
West Rand District Municipality,Mogale City Local Municipality,South Africa,820995,Randfontein,Bojanala Platinum District Municipality,district municipality of South Africa,1681
ZF Mgcawu District Municipality,Kgatelopele Local Municipality,South Africa,236783,Upington,Frances Baard District Municipality,district municipality of South Africa,914
Frances Baard District Municipality,Sol Plaatje Local Municipality,South Africa,382086,Kimberley,Dr Ruth Segomotsi Mompati District Municipality,district municipality of South Africa,1041
Dr Ruth Segomotsi Mompati District Municipality,Naledi Local Municipality,South Africa,463815,Vryburg,Frances Baard District Municipality,district municipality of South Africa,1352
Central Karoo District Municipality,Laingsburg Local Municipality,South Africa,71011,Beaufort West,Cacadu District Municipality,district municipality of South Africa,640
Cacadu District Municipality,Sunday's River Valley Local Municipality,South Africa,450584,Port Elizabeth,Central Karoo District Municipality,district municipality of South Africa,476
West Coast District Municipality,Matzikama Local Municipality,South Africa,391766,Moorreesburg,Namakwa District Municipality,district municipality of South Africa,259
Sedibeng District Municipality,Emfuleni Local Municipality,South Africa,916484,Vereeniging,Ekurhuleni Metropolitan Municipality,district municipality of South Africa,1582
Xhariep District Municipality,Mohokare Local Municipality,South Africa,146259,Trompsburg,Frances Baard District Municipality,district municipality of South Africa,1467
