col0,col1,col2,col3,col4,col5,col6,col7
Luya Province,Utcubamba Province,44436,Amazonas,Peru,Providencia District,Lamud,province of Peru
Lauricocha Province,Ambo Province,18913,Huanuco,Peru,Jivia District,"Jesús, Peru",province of Peru
San Pablo Province,Cajamarca Province,21102,Cajamarca,Peru,"San Luis District, San Pablo",San Pablo,province of Peru
Lucanas Province,Parinacochas Province,51328,Ayacucho,Peru,Huac-Huas District,Puquio,province of Peru
San Ignacio Province,Jaén Province,130620,Cajamarca,Peru,Chirinos District,San Ignacio de la Frontera,province of Peru
Cangallo Province,Vilcas Huamán Province,30443,Ayacucho,Peru,Los Morochucos District,Cangallo,province of Peru
Sucre Province,Víctor Fajardo Province,9445,Ayacucho,Peru,Soras District,Querobamba,province of Peru
Ascope Province,Otuzco Province,115786,La Libertad,Peru,Chocope District,Ascope,province of Peru
Jauja Province,Yauyos Province,83257,Junín,Peru,"Yauyos District, Jauja",Jauja,province of Peru
San Martín Province,Picota Province,193095,San Martín,Peru,Alberto Leveau District,Tarapoto,province of Peru
