col0,col1,col2,col3
Gospel Book with Portraits of Esayi Nchetsi and Nerses Mshetsi,19,Armenia!,Matenadaran
Gospel Book,24.4,Armenia!,Matenadaran
Gospel Book of the Archbishop John,19.5,Armenia!,Matenadaran
Gospel Book,26.5,Metropolitan Museum of Art,Matenadaran
Gospel Book,13.2,Armenia!,Holy See of Cilicia
Silver Cover for Mother Ritual Book,18.5,Armenia!,Holy See of Cilicia
New Testament,14.5,Armenia!,Holy See of Cilicia
Bardzrberd Gospel Book,21,Armenia!,Holy See of Cilicia
Ritual Book of Ordination,26.8,Armenia!,Mechitarists
Gospel Book,32,Armenia!,Mechitarists
Gospel Book,17.5,Armenia!,Mechitarists
Gospel Book of Lady Keran and Prince Levon II,19,Armenia!,Armenian Patriarchate of Jerusalem
