col0,col1,col2,col3,col4,col5
Washington County,Washington County,Kentucky,Eastern Time Zone,Washington County,"National Register of Historic Places listings in Washington County, Kentucky"
Madison County,Madison County,Kentucky,Eastern Time Zone,Madison County,"National Register of Historic Places listings in Madison County, Kentucky"
Lawrence County,Lawrence County,Kentucky,Eastern Time Zone,Lawrence County,"National Register of Historic Places listings in Lawrence County, Kentucky"
Knox County,Knox County,Kentucky,Eastern Time Zone,Knox County,"National Register of Historic Places listings in Knox County, Kentucky"
Jefferson County,Jefferson County,Kentucky,Eastern Time Zone,Jefferson County,"National Register of Historic Places listings in Jefferson County, Kentucky"
Hopkins County,Hopkins County,Kentucky,Central Time Zone,Hopkins County,"National Register of Historic Places listings in Hopkins County, Kentucky"
Union County,Union County,Kentucky,Central Time Zone,Union County,"National Register of Historic Places listings in Union County, Kentucky"
Lincoln County,Lincoln County,Kentucky,Eastern Time Zone,Lincoln County,"National Register of Historic Places listings in Lincoln County, Kentucky"
Ohio County,Ohio County,Kentucky,Central Time Zone,Ohio County,"National Register of Historic Places listings in Ohio County, Kentucky"
Mercer County,Mercer County,Kentucky,Eastern Time Zone,Mercer County,"National Register of Historic Places listings in Mercer County, Kentucky"
Marion County,Marion County,Kentucky,Eastern Time Zone,Marion County,"National Register of Historic Places listings in Marion County, Kentucky"
Lewis County,Lewis County,Kentucky,Eastern Time Zone,Lewis County,"National Register of Historic Places listings in Lewis County, Kentucky"
