col0,col1,col2,col3,col4
1995 US Badminton Championships,US Badminton Championships,1996 US Badminton Championships,1995-01-01,badminton
1994 US Badminton Championships,US Badminton Championships,1995 US Badminton Championships,1994-01-01,badminton
1993 US Badminton Championships,US Badminton Championships,1994 US Badminton Championships,1993-01-01,badminton
1992 US Badminton Championships,US Badminton Championships,1993 US Badminton Championships,1992-01-01,badminton
1991 US Badminton Championships,US Badminton Championships,1992 US Badminton Championships,1991-01-01,badminton
1990 US Badminton Championships,US Badminton Championships,1991 US Badminton Championships,1990-01-01,badminton
1989 US Badminton Championships,US Badminton Championships,1990 US Badminton Championships,1989-01-01,badminton
1988 US Badminton Championships,US Badminton Championships,1989 US Badminton Championships,1988-01-01,badminton
1987 US Badminton Championships,US Badminton Championships,1988 US Badminton Championships,1987-01-01,badminton
1985 US Badminton Championships,US Badminton Championships,1986 US Badminton Championships,1985-01-01,badminton
1986 US Badminton Championships,US Badminton Championships,1987 US Badminton Championships,1986-01-01,badminton
1983 US Badminton Championships,US Badminton Championships,1984 US Badminton Championships,1983-01-01,badminton
1982 US Badminton Championships,US Badminton Championships,1983 US Badminton Championships,1982-01-01,badminton
1980 US Badminton Championships,US Badminton Championships,1981 US Badminton Championships,1980-01-01,badminton
