col0,col1,col2,col3,col4,col5
Taşpınar,Turkey,1050,Aksaray,UTC+03:00,human settlement
Saltukova,Turkey,135,Çaycuma,UTC+03:00,human settlement
Perşembe,Turkey,310,Çaycuma,UTC+03:00,human settlement
Göksu,Turkey,320,Mut,UTC+03:00,human settlement
Salman,Turkey,1160,Akkuş,UTC+03:00,human settlement
Selçikler,Turkey,900,Sivaslı,UTC+03:00,human settlement
Taşkesti,Turkey,560,Bolu Province,UTC+03:00,human settlement
Tepealan,Turkey,660,Korgan,UTC+03:00,human settlement
Turgut,Turkey,550,Yatağan,UTC+03:00,human settlement
Yeditepe,Turkey,765,Yayladağı,UTC+03:00,human settlement
Osmaniye,Turkey,780,Alpu,UTC+03:00,city
Oba,Turkey,30,Alanya,UTC+03:00,city
Göreme,Turkey,1100,Nevşehir Province,UTC+03:00,city
Dilek,Turkey,780,Malatya,UTC+03:00,mahalle
