col0,col1,col2,col3
Mappa Topographico do Municipio de São Paulo - Folha 72,copy,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 58 - 59,copy,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 52,copying,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 52,copying,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 53,copying,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - 27 - 28,illustration,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 28 - 29 - 30,copying,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 54,copying,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 11,illustration,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 12,photograph,geographic map,Museu Paulista
Mappa Topographico do Município de São Paulo - Folha 6 - 7,copy,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folhas 8-9,copy,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 1 - 2,copying,geographic map,Museu Paulista
Mappa Topographico do Municipio de São Paulo - Folha 62,copy,item of collection or exhibition,Museu Paulista
