col0,col1,col2,col3,col4
Ds Blue Wave,20.6,2007-01-01,Liberia,feeder ship
Conmar Gulf,20.6,2007-01-01,Portugal,feeder ship
WMS Groningen,20.6,2006-01-01,Republic of Cyprus,feeder ship
Containerships Viii,22,2006-01-01,Germany,feeder ship
Alexander B,24.5,2006-01-01,Antigua and Barbuda,feeder ship
Frederik,24,2005-01-01,Malta,feeder ship
Jork Ruler,21.8,2006-01-01,Republic of Cyprus,feeder ship
Sleipner,21.8,2005-01-01,Republic of Cyprus,feeder ship
Rita,19.2,2005-01-01,Republic of Cyprus,feeder ship
Hanse Confidence,22.8,2004-01-01,Antigua and Barbuda,feeder ship
