col0,col1,col2,col3
Ray Cataldo,Ray,The Blue Door,The Blue Door
Evelyn Jones,Evelyn,The Blue Door,The Blue Door
April O'Neil,April,The Blue Door,The Blue Door
Vernon Prindle,Vernon,"Return of the Shredder, Part 1","Return of the Shredder, Part 2"
Burne Thompson,Burne,"Return of the Shredder, Part 1","Return of the Shredder, Part 1"
Vernon Prindle,Vernon,"Return of the Shredder, Part 1","Return of the Shredder, Part 1"
Vernon Fenwick,Vernon,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
Wolfgang Plink,Wolfgang,Burne's Blues,Burne's Blues
Clayton Kellerman,Clayton,Turtles on Trial,Turtles on Trial
Percival Pifflecoot,Percival,"Michelangelo, the Sacred Turtle","Michelangelo, the Sacred Turtle"
Dickie Bark,Dickie,Pirate Radio,Pirate Radio
