col0,col1,col2,col3
1951 World All-Round Speed Skating Championships for Women,Sweden,Ragnhild Mikkelsen,1951-01-01
1963 World All-Round Speed Skating Championships for Women,Japan,Kaija Mustonen,1963-01-01
1969 World All-Round Speed Skating Championships for Women,France,Lyudmila Titova,1969-01-01
1963 World All-Round Speed Skating Championships for Women,Japan,Helga Haase,1963-01-01
1960 World All-Round Speed Skating Championships for Women,Sweden,Lidiya Skoblikova,1960-01-01
1963 World All-Round Speed Skating Championships for Women,Japan,Inga Artamonova,1963-01-01
1934 World All-Round Speed Skating Championships for Women,Norway,Verné Lesche,1934-01-01
1947 World All-Round Speed Skating Championships for Women,Norway,Verné Lesche,1947-01-01
1969 World All-Round Speed Skating Championships for Women,France,Ruth Schleiermacher,1969-01-01
1934 World All-Round Speed Skating Championships for Women,Norway,Laila Schou Nilsen,1934-01-01
1969 World All-Round Speed Skating Championships for Women,France,Wil Burgmeijer,1969-01-01
1979 World Allround Speed Skating Championships for women,Netherlands,Sophie Westenbroek,1979-01-01
1986 World Allround Speed Skating Championships for women,Netherlands,Jelena Lapuga,1986-02-01
1983 World Allround Speed Skating Championships for women,Germany,Svetlana Kachuk,1983-01-01
1979 World Allround Speed Skating Championships for women,Netherlands,Marion Dittman,1979-01-01
