col0,col1,col2,col3,col4
Bryant Creek State Park,Missouri,2016-01-01,Missouri state park,United States of America
Eleven Point State Park,Missouri,2016-01-01,Missouri state park,United States of America
Harry S Truman State Park,Tom Township,1976-01-01,Missouri state park,United States of America
Johnson's Shut-Ins State Park,Missouri,1955-01-01,Missouri state park,United States of America
Current River State Park,Missouri,2008-01-01,Missouri state park,United States of America
Weston Bend State Park,Missouri,1980-01-01,Missouri state park,United States of America
Watkins Woolen Mill State Park and State Historic Site,Missouri,1964-01-01,Missouri state park,United States of America
Washington State Park,Washington County,1932-01-01,Missouri state park,United States of America
Wallace State Park,Missouri,1932-01-01,Missouri state park,United States of America
Wakonda State Park,Missouri,1960-01-01,Missouri state park,United States of America
Van Meter State Park,Saline County,1932-01-01,Missouri state park,United States of America
Thousand Hills State Park,Adair County,1952-01-01,Missouri state park,United States of America
Taum Sauk Mountain State Park,Missouri,1991-01-01,Missouri state park,United States of America
