col0,col1,col2,col3,col4
Geltendorf station,Geltendorf,5,MVV fare zone 12,Train station St. Ottilien
Fawdon metro station,Fawdon,2,Tyne and Wear Metro fare zone B,Wansbeck Road
South Hylton metro station,Sunderland,1,Transfare Grey Zone,Pallion
Airport metro station,Woolsington,2,Transfare Grey Zone,Callerton Parkway metro station
Kingston Park metro station,City of Newcastle upon Tyne,2,Network One zone 2,Bank Foot metro station
Fawdon metro station,Fawdon,2,Network One zone 2,Bank Foot metro station
Kingston Park metro station,City of Newcastle upon Tyne,2,Transfare Green Zone,Bank Foot metro station
Fawdon metro station,Fawdon,2,Transfare Green Zone,Bank Foot metro station
Kingston Park metro station,City of Newcastle upon Tyne,2,Tyne and Wear Metro fare zone B,Bank Foot metro station
Fawdon metro station,Fawdon,2,Tyne and Wear Metro fare zone B,Bank Foot metro station
Milano Forlanini railway halt,Milan,4,Mi1,Milano Porta Vittoria railway station
Cimiano metro station,Milan,2,Mi1,Udine metro station
Assago Milanofiori Nord,Assago,2,Mi3,Famagosta metro station
