col0,col1,col2,col3,col4
Den Hoogenboom,Oegstgeest,farm,Netherlands,Rijksmonument
Tanques i templet del parc Gener,L'Arboç,fence,Spain,Cultural Asset part of the architectural heritage of Catalonia
fence near Westzeedijk,Rotterdam,fence,Netherlands,Rijksmonument
't Haveke,Lochem,fence,Netherlands,Rijksmonument
"Toegangshek, Doornburgh",Stichtse Vecht,fence,Netherlands,Rijksmonument
"Groesbeekseweg 1, Nijmegen",Nijmegen,fence,Netherlands,Rijksmonument
Tanques i templet del parc Gener,L'Arboç,building,Spain,Cultural Asset part of the architectural heritage of Catalonia
Rijks HBS,Harlingen,fence,Netherlands,Rijksmonument
Huis Den Berg,Dalfsen,fence,Netherlands,Rijksmonument
De Breul,Zeist,fence,Netherlands,Rijksmonument
Sterreschans,Stichtse Vecht,fence,Netherlands,Rijksmonument
"Utrechtseweg 111, Vleuten",Utrecht,fence,Netherlands,Rijksmonument
Toegangspoort Algemene Begraafplaats,Krimpenerwaard,fence,Netherlands,Rijksmonument
