col0,col1,col2,col3,col4,col5,col6
Ceres,Aberystwyth,Ceres,Aberdyfi,shipwrecking,96,schooner
Aberystwyth,Aberystwyth,Aberystwyth,Gainsborough,shipwrecking,98,schooner
Prince of Wales,Aberystwyth,Prince of Wales,Neyland,shipwrecking,191,brig
Nimrod,Aberystwyth,Nimrod,New Brunswick,shipwrecking,190,brig
Pilgrim,Aberystwyth,pilgrim,Aberystwyth,shipwrecking,182,merchant vessel
Ystwyth,Aberystwyth,River Ystwyth,Aberystwyth,shipwrecking,63,schooner
Pilgrim,Aberystwyth,pilgrim,Aberystwyth,shipwrecking,182,brig
Dove,Aberystwyth,Columbidae,Plymouth,shipwrecking,25,merchant vessel
Bristol Packet,Aberystwyth,Bristol,Carmarthen,shipwrecking,42,merchant vessel
Aeron Queen,Aberystwyth,River Aeron,Aberaeron,shipwrecking,96,merchant vessel
