col0,col1,col2,col3,col4
Cecil Court,United Kingdom,City of Westminster,bookshop neighbourhood,Charing Cross Road
Sicilian Avenue,United Kingdom,London Borough of Camden,shopping street,Bloomsbury Square
Woburn Walk,United Kingdom,London Borough of Camden,shopping street,Duke's Road
Carnaby Street,United Kingdom,City of Westminster,shopping street,Broadwick Street
Cecil Court,United Kingdom,City of Westminster,alley,Charing Cross Road
Peter's Hill,United Kingdom,City of London,pedestrian zone,Millennium Bridge
Sicilian Avenue,United Kingdom,London Borough of Camden,pedestrian zone,Bloomsbury Square
Woburn Walk,United Kingdom,London Borough of Camden,pedestrian zone,Duke's Road
avenida de Brasil,Spain,Madrid,pedestrian zone,Avenida del General Perón
Gerrard Street,United Kingdom,Chinatown,pedestrian zone,Wardour Street
South Molton Street,United Kingdom,City of Westminster,pedestrian zone,Brook Street
