col0,col1,col2,col3
Pashene,Ukraine,landscape reserve,1994-01-01
Sunkivsky Landscape Preserve,Ukraine,landscape reserve,1984-01-01
Pivdenno-Mostivskyi Nature Reserve,Ukraine,landscape reserve,1983-01-01
Yezuchskyy,Ukraine,landscape reserve,1983-01-01
Haichur river Reserve,Ukraine,landscape reserve,2010-01-01
Nashi Hayi Rezerve,Ukraine,landscape reserve,2010-06-17
Zhorany Lakes Reserve,Ukraine,landscape reserve,1994-01-01
Kozachyi and Olgyn islands,Ukraine,landscape reserve,2014-02-19
Verkhnio-Kilchenskyi Landscape Reserve,Ukraine,landscape reserve,2013-01-01
Chyvchyno-Hryniavskyi Reserve,Ukraine,landscape reserve,1997-01-01
