col0,col1,col2,col3,col4,col5,col6
Sesimbra,Portugal,UTC±00:00,Meerssen,Santiago,Patron saint day,town of Portugal
Vila Nova de Paiva,Portugal,UTC±00:00,Orsay,Touro,Patron saint day,town of Portugal
Sesimbra,Portugal,UTC±00:00,Meerssen,Santiago,Patron saint day,municipality of Portugal
Vila Nova de Paiva,Portugal,UTC±00:00,Orsay,Touro,Patron saint day,municipality of Portugal
Sesimbra,Portugal,UTC±00:00,Sigulda,Santiago,Patron saint day,town of Portugal
Ponte da Barca,Portugal,UTC±00:00,Les Clayes-sous-Bois,Sampriz,Patron saint day,town of Portugal
Arcos de Valdevez,Portugal,UTC±00:00,Dammarie-lès-Lys,Ázere,Patron saint day,town of Portugal
Alvaiázere,Portugal,UTC±00:00,Matola,Maçãs de Dona Maria,Patron saint day,town of Portugal
Ponte da Barca,Portugal,UTC±00:00,Les Clayes-sous-Bois,Sampriz,Patron saint day,municipality of Portugal
Arcos de Valdevez,Portugal,UTC±00:00,Dammarie-lès-Lys,Ázere,Patron saint day,municipality of Portugal
Alvaiázere,Portugal,UTC±00:00,Matola,Maçãs de Dona Maria,Patron saint day,municipality of Portugal
Oeiras,Portugal,UTC±00:00,Praia,Barcarena,Patron saint day,town of Portugal
Palmela,Portugal,UTC±00:00,Xàbia,Pinhal Novo,Patron saint day,town of Portugal
