col0,col1,col2,col3,col4,col5,col6,col7
tungsten-186,112,-42508.528,74,tungsten,osmium-186,23000000000000000000,1
tungsten-190,116,-34382.313,74,tungsten,rhenium-190,30,1
tungsten-189,115,-35617.536,74,tungsten,rhenium-189,10.7,-1
tungsten-188,114,-38667.811,74,tungsten,rhenium-188,69.78,1
tungsten-187,113,-39903.97,74,tungsten,rhenium-187,24,-1
tungsten-185,111,-43387.793,74,tungsten,rhenium-185,75.1,-1
tungsten-181,107,-48233.818,74,tungsten,tantalum-181,121.2,1
tungsten-179,105,-49295.127,74,tungsten,tantalum-179,37.05,-1
tungsten-178,104,-50406.936,74,tungsten,tantalum-178,21.6,1
tungsten-177,103,-49701.726,74,tungsten,tantalum-177,132,-1
