col0,col1,col2,col3,col4,col5,col6,col7
Building 18011-85,stairs,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,2,residence
Building 18011-20,stairs,Ottoman Palestine,Israel,Grade B listed building in Acre Israel,Acre Subdistrict,2,trade
Khan al-Shuna,stairs,Ottoman Palestine,Israel,Grade A listed building in Acre Israel,Acre Subdistrict,2,tourism
Building 18011-20,stairs,Ottoman Palestine,Israel,Grade B listed building in Acre Israel,Acre Subdistrict,2,history
Building 18011-12,stairs,Ottoman Palestine,Israel,Grade B listed building in Acre Israel,Acre Subdistrict,4,Listed building in Acre
Building 18012-4,stairs,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,3,Listed building in Acre
Building 18011-333,stairs,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,3,Listed building in Acre
Building 18011-12,stairs,Ottoman Palestine,Israel,Grade B listed building in Acre Israel,Acre Subdistrict,4,Listed building in Israel
Building 18012-4,stairs,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,3,Listed building in Israel
Building 18011-333,stairs,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,3,Listed building in Israel
Building 18011-12,stairs,Ottoman Palestine,Israel,Grade B listed building in Acre Israel,Acre Subdistrict,4,residence
Building 18012-4,stairs,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,3,residence
Building 18011-333,roof,Ottoman Palestine,Israel,Grade C listed building in Acre Israel,Acre Subdistrict,3,residence
Building 18011-12,stairs,Ottoman Palestine,Israel,Grade B listed building in Acre Israel,Acre Subdistrict,4,history
Building 18011-73,stairs,Crusader,Israel,Grade A listed building in Acre Israel,Acre Subdistrict,2,Listed building in Acre
