col0,col1,col2,col3
Kelheim,Kelheim,Martin Neumeyer,369
Kulmbach,Kulmbach,Klaus Peter Söllner,391
Starnberg,Starnberg,Karl Roth,683
Ansbach,Ansbach,Jürgen Ludwig,426
Regensburg,Regensburg,Tanja Schweiger,390
Augsburg,Augsburg,Martin Sailer,521
Ebersberg,Ebersberg,Robert Niedergesäß,601
Günzburg,Günzburg,Hubert Hafner,537
Roth,Roth,Herbert Eckstein,355
Passau,Passau,Franz Meyer,364
Cham,Cham,Franz Löffler,469
Altötting,Altötting,Erwin Schneider,436
Lindau,Lindau,Elmar Stegmann,496
Lichtenfels,Lichtenfels,Christian Meißner,422
