col0,col1,col2,col3
Nakhon Ratchasima shooting,Mueang Nakhon Ratchasima,Chakraphan Thomma,Surathamphithak Military Camp
Pittsburgh synagogue shooting,Pittsburgh,Robert Bowers,Tree of Life – Or L'Simcha
Santa Fe High School shooting,Santa Fe,Dimitrios Pagourtzis,Santa Fe High School
2017 Las Vegas shooting,Paradise,Stephen Paddock,Las Vegas Village
Sagamihara stabbings,Midori-ku,Satoshi Uematsu,Tsukui Yamayuri-en
2016 Orlando nightclub shooting,Orlando,Omar Mateen,Pulse
Nakhon Ratchasima shooting,Mueang Nakhon Ratchasima,Chakraphan Thomma,Terminal 21 Korat
Sutherland Springs church shooting,Texas,Devin Kelley,Sutherland Springs
2019 Dayton shooting,Dayton,Connor Stephen Betts,Oregon Historic District
2019 El Paso shooting,El Paso,Patrick Crusius,Cielo Vista Mall
2016 Nice attack,Nice,Mohamed Lahouaiej-Bouhlel,Promenade des Anglais
2016 Berlin attack,Berlin,Anis Amri,Breitscheidplatz
Nakhon Ratchasima shooting,Mueang Nakhon Ratchasima,Chakraphan Thomma,Nakhon Ratchasima
2017 Lower Manhattan attack,New York City,Sayfullo Habibullaevich Saipov,West Side Highway
