col0,col1,col2,col3,col4,col5,col6
nickel-78,nickel,1,isotope of nickel,0.11,copper-77,-33890
nickel-76,nickel,1,isotope of nickel,0.238,copper-75,-41630
nickel-75,nickel,1,isotope of nickel,344,copper-74,-44030
nickel-74,nickel,1,isotope of nickel,0.68,copper-73,-48456
nickel-73,nickel,1,isotope of nickel,0.84,copper-72,-50108.152
nickel-72,nickel,1,isotope of nickel,1.57,copper-71,-54226.06
nickel-71,nickel,1,isotope of nickel,2.56,copper-71,-55406.228
nickel-70,nickel,1,isotope of nickel,6,copper-70,-59213.86
nickel-69,nickel,1,isotope of nickel,11.2,copper-69,-59978.648
nickel-68,nickel,1,isotope of nickel,29,copper-68,-63463.814
nickel-66,nickel,1,isotope of nickel,54.6,copper-66,-66006.285
