col0,col1,col2,col3,col4,col5,col6,col7
CSS 835,-10.975,3800,207.9076399651689,-50.4549237725792,S-type star,0.4383,2709.11
MC79 1-152,-1.927,3975,217.5726705740321,-74.7069241647751,S-type star,0.7988,1251.8778
MC79 1-153,-2.168,4500,219.3019876941808,-75.138152967853,S-type star,0.5978,1672.8003
CSS 784,-8.537,3800,182.1153310892515,-49.9078510422819,S-type star,0.4824,2841.47
2MASS J10321902-6724007,-4.499,4000,158.0792378285114,-67.4002092210263,S-type star,0.5075,1970.4433
MC79 1-95,-1.989,3809,145.7979228274262,-74.9967303341761,S-type star,0.1931,3011.98
HD 150922,-2.678,3600,251.17580180167,-14.0801553547898,infrared source,1.5168,659.2827
NQ Pup,-7.367,3399,118.2719614004521,-11.6248202040301,infrared source,1.569,637.3486
Y Lyncis,-3.186,3200,112.0483915845595,45.990615351601,infrared source,2.9657,337.1885
DT Piscium,-54.306,3548,18.5204394882221,28.5295746670088,spectroscopic binary star,3.533,283.0456
NQ Pup,-7.367,3399,118.2719614004521,-11.6248202040301,long period variable,1.569,637.3486
Y Lyncis,-3.186,3200,112.0483915845595,45.990615351601,long period variable,2.9657,337.1885
HD 150922,-2.678,3600,251.17580180167,-14.0801553547898,S-type star,1.5168,659.2827
