col0,col1,col2,col3,col4,col5
Den Haag-Zuid junction,junction,Netherlands,The Hague,1998-04-29,Midden-Delfland
Nieuwegein A2 junction,junction,Netherlands,Nieuwegein,1985-01-01,IJsselstein
Rotterdam-Centrum A16 junction,junction,Netherlands,Rotterdam Centrum,1965-02-01,Kralingen-Crooswijk
Noordwijkerhout junction,junction,Netherlands,Noordwijkerhout,1938-01-01,Teylingen
IJmuiden A22 junction,junction,Netherlands,IJmuiden,1957-01-01,Velsen
Hendrik-Ido-Ambacht A15 junction,junction,Netherlands,Hendrik-Ido-Ambacht,1992-02-01,Ridderkerk
Westerpark junction,junction,Netherlands,Westerpark,1966-01-01,Amsterdam
Den Oever junction,junction,Netherlands,Den Oever,1976-01-01,Hollands Kroon
Waalre junction,junction,Netherlands,Waalre-dorp,1963-11-22,Eindhoven
Heinkenszand junction,junction,Netherlands,Heinkenszand,1970-12-18,Goes
Almelo-West junction,junction,Netherlands,Almelo,2007-01-01,Wierden
Zuidlaren junction,junction,Netherlands,Zuidlaren,1973-06-15,Tynaarlo
Leidschendam junction,junction,Netherlands,Leidschendam,1958-02-11,The Hague
Bodegraven junction,junction,Netherlands,Bodegraven,1939-11-25,Bodegraven-Reeuwijk
