col0,col1,col2,col3
Muammar Gaddafi,Arab Socialist Union,Chairperson of the African Union,2011-10-20
Tomasz Frankowski,Civic Platform,member of the European Parliament,2013-01-01
Agustín Delgado,PAIS Alliance,Deputy of the National Congress of Ecuador,2011-01-01
Shahbaz Bhatti,Pakistan Peoples Party,Member of the National Assembly of Pakistan,2011-03-02
Than Shwe,Burma Socialist Programme Party,Tatmadaw,2011-01-01
Cuauhtémoc Blanco,Social Democratic Party,municipal presidente,2016-03-05
Romário,Brazilian Socialist Party,Brazilian senator,2009-01-01
Kirk Douglas,Democratic Party,President of the Jury at the Cannes Festival,2008-01-01
Richard Attenborough,Labour Party,Member of the House of Lords,2007-01-01
Theodoros Zagorakis,New Democracy,member of the European Parliament,2007-01-01
Chinghiz Aitmatov,Communist Party of the Soviet Union,Russian ambassador,2006-01-01
Jorge Corozo,PAIS Alliance,Deputy of the National Congress of Ecuador,2006-01-01
Raul Mondesi,Dominican Revolutionary Party,Member of the Chamber of Deputies of the Dominican Republic,2005-05-27
Mihails Zemļinskis,"Social Democratic Party ""Harmony""",deputy of Saeima,2005-01-01
Dmitri Alenichev,United Russia,member of the Federation Council of Russia,2006-01-01
