col0,col1,col2,col3,col4,col5,col6
Grant County,National Register of Historic Places listings in Minnesota,Grant County,Grant County,Elbow Lake,5989,1868-03-06
Clearwater County,National Register of Historic Places listings in Minnesota,Clearwater County,Clearwater County,Bagley,8838,1902-12-20
Lyon County,"National Register of Historic Places listings in Lyon County, Minnesota",Lyon County,Lyon County,Marshall,25487,1869-11-02
Houston County,National Register of Historic Places listings in Houston County,Houston County,Houston County,Caledonia,18799,1854-04-04
Pope County,"National Register of Historic Places listings in Pope County, Minnesota",Pope County,Pope County,Glenwood,10932,1862-02-20
Stevens County,National Register of Historic Places listings in Minnesota,Stevens County,Stevens County,Morris,9735,1862-02-20
Fillmore County,National Register of Historic Places listings in Fillmore County,Fillmore County,Fillmore County,Preston,20835,1853-03-05
Lac qui Parle County,"National Register of Historic Places listings in Lac qui Parle County, Minnesota",Lac qui Parle County,Lac qui Parle County,Madison,7027,1871-11-07
Marshall County,National Register of Historic Places listings in Minnesota,Marshall County,Marshall County,Warren,9425,1879-02-25
Lincoln County,National Register of Historic Places listings in Minnesota,Lincoln County,Lincoln County,Ivanhoe,5830,1873-11-04
Jackson County,National Register of Historic Places listings in Minnesota,Jackson County,Jackson County,Jackson,10260,1857-05-23
Lake County,"National Register of Historic Places listings in Lake County, Minnesota",Lake County,Lake County,Two Harbors,10777,1856-03-01
Pennington County,National Register of Historic Places listings in Minnesota,Pennington County,Pennington County,Thief River Falls,14118,1910-11-23
Dodge County,National Register of Historic Places listings in Dodge County,Dodge County,Dodge County,Mantorville,20349,1855-02-20
Renville County,National Register of Historic Places listings in Minnesota,Renville County,Renville County,Olivia,15166,1855-02-20
