col0,col1,col2,col3
Poklad House of Culture,cultural monument of the Czech Republic,1961-01-01,house of culture
Společenský dům,cultural monument of the Czech Republic,1959-01-01,house of culture
Městský dům kultury Sokolov,cultural monument of the Czech Republic,1925-01-01,house of culture
Dům kultury města Ostravy,cultural monument of the Czech Republic,1961-01-01,house of culture
Kulturní dům Peklo,cultural monument of the Czech Republic,1907-01-01,house of culture
Poklad House of Culture,cultural monument of the Czech Republic,1961-01-01,cultural center
Společenský dům,cultural monument of the Czech Republic,1959-01-01,cultural center
Městský dům kultury Sokolov,cultural monument of the Czech Republic,1925-01-01,cultural center
Dům kultury města Ostravy,cultural monument of the Czech Republic,1961-01-01,cultural center
Kulturní dům Peklo,cultural monument of the Czech Republic,1907-01-01,cultural center
Poklad House of Culture,cultural monument of the Czech Republic,1961-01-01,theatre
Společenský dům,cultural monument of the Czech Republic,1959-01-01,theatre
Městský dům kultury Sokolov,cultural monument of the Czech Republic,1925-01-01,theatre
Dům kultury města Ostravy,cultural monument of the Czech Republic,1961-01-01,theatre
