col0,col1,col2,col3,col4,col5
City of Glenorchy,Kingborough Council,Australia,Tasmania,Derwent Park,550
City of Hobart,City of Glenorchy,Australia,Tasmania,Battery Point,170
Kingborough Council,City of Glenorchy,Australia,Tasmania,Kingston,281
City of Hobart,City of Clarence,Australia,Tasmania,Mount Stuart,170
City of Glenorchy,Huon Valley Council,Australia,Tasmania,West Moonah,550
City of Hobart,City of Clarence,Australia,Tasmania,Sandy Bay,170
City of Glenorchy,Huon Valley Council,Australia,Tasmania,Rosetta,550
City of Hobart,City of Clarence,Australia,Tasmania,Mount Nelson,170
City of Glenorchy,Huon Valley Council,Australia,Tasmania,Lutana,550
City of Hobart,City of Clarence,Australia,Tasmania,Hobart,170
City of Glenorchy,Huon Valley Council,Australia,Tasmania,Glenlusk,550
