col0,col1,col2,col3
2004 European Aquatics Championships,2004-01-01,sports season,2004-05-16
1974 European Aquatics Championships,1974-01-01,sports season,1974-08-25
2020 European Aquatics Championships,2020-01-01,LEN European Aquatics Championships,2020-05-24
2018 European Aquatics Championships,2018-08-01,LEN European Aquatics Championships,2018-08-12
2016 European Aquatics Championships,2016-01-01,LEN European Aquatics Championships,2016-05-22
2014 European Aquatics Championships,2014-01-01,LEN European Aquatics Championships,2014-08-24
1999 European Aquatics Championships,1999-01-01,LEN European Aquatics Championships,1999-08-01
1991 European Aquatics Championships,1991-01-01,LEN European Aquatics Championships,1991-08-25
1931 European Aquatics Championships,1931-01-01,LEN European Aquatics Championships,1931-08-30
1947 European Aquatics Championships,1947-01-01,LEN European Aquatics Championships,1947-09-14
1966 European Aquatics Championships,1966-01-01,LEN European Aquatics Championships,1966-08-27
1938 European Aquatics Championships,1938-01-01,LEN European Aquatics Championships,1938-08-13
1993 European Aquatics Championships,1993-01-01,LEN European Aquatics Championships,1993-08-08
2000 European Aquatics Championships,2000-01-01,LEN European Aquatics Championships,2000-07-09
