col0,col1,col2,col3
2004 Copenhagen Badminton Masters,Falkoner Center,Denmark,2004 Copenhagen Masters – Mixed doubles
2015 Copenhagen Badminton Masters,Falkoner Center,Denmark,2015 Copenhagen Masters – Women's singles
2011 Copenhagen Badminton Masters,Falkoner Center,Denmark,2011 Copenhagen Masters – Women's singles
2010 Copenhagen Badminton Masters,Falkoner Center,Denmark,2010 Copenhagen Masters – Women's singles
2009 Copenhagen Badminton Masters,Falkoner Center,Denmark,2009 Copenhagen Masters – Women's singles
2008 Copenhagen Badminton Masters,Falkoner Center,Denmark,2008 Copenhagen Masters – Women's singles
2007 Copenhagen Badminton Masters,Falkoner Center,Denmark,2007 Copenhagen Masters – Women's singles
2003 Copenhagen Badminton Masters,Circus Building,Denmark,2003 Copenhagen Masters – Women's singles
2002 Copenhagen Badminton Masters,Circus Building,Denmark,2002 Copenhagen Masters – Women's singles
2001 Copenhagen Badminton Masters,Circus Building,Denmark,2001 Copenhagen Masters – Women's singles
2000 Copenhagen Badminton Masters,Circus Building,Denmark,2000 Copenhagen Masters – Women's singles
1999 Copenhagen Badminton Masters,Circus Building,Denmark,1999 Copenhagen Masters – Women's singles
1998 Copenhagen Badminton Masters,Circus Building,Denmark,1998 Copenhagen Masters – Women's singles
1997 Copenhagen Badminton Masters,Circus Building,Denmark,1997 Copenhagen Masters – Women's singles
1996 Copenhagen Badminton Masters,Circus Building,Denmark,1996 Copenhagen Masters – Women's singles
