col0,col1,col2,col3,col4,col5
D.I.C.E.,2005-01-01,list of D.I.C.E. episodes,mecha,40,Japan
Knights of Sidonia,2015-03-06,list of Knights of Sidonia episodes,adventure,24,Japan
Cute High Earth Defense Club Love!,2015-02-26,list of Cute High Earth Defense Club Love! episodes,magical girl,12,Japan
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Rachirareta Ken",2011-01-01,list of Shomin Sample episodes,novel,12,Japan
Samurai Pizza Cats,1990-01-01,list of Samurai Pizza Cats episodes,comedic TV series,52,Japan
Mobile Suit Gundam ZZ,1986-01-01,list of Mobile Suit Gundam ZZ episodes,comedy drama anime and manga,47,Japan
Arakawa Under the Bridge,2010-01-01,list of Arakawa Under the Bridge episodes,comedy anime and manga,26,Japan
Sister Princess,2001-01-01,list of Sister Princess episodes,television comedy,26,Japan
Arakawa Under the Bridge,2010-01-01,list of Arakawa Under the Bridge episodes,school anime and manga,26,Japan
Mobile Suit Zeta Gundam,2004-01-01,list of Mobile Suit Zeta Gundam episodes,mecha,50,Japan
