col0,col1,col2,col3
Rocard II cabinet,Michel Rocard,First Rocard Government,France
Aimo Cajander's third cabinet,Aimo Cajander,Kyösti Kallio's fourth cabinet,Finland
Paavo Lipponen's second Cabinet,Paavo Lipponen,Paavo Lipponen's first cabinet,Finland
Government of the 29th Dáil,Bertie Ahern,Government of the 28th Dáil,Ireland
Jagland's Cabinet,Thorbjørn Jagland,Brundtland's Third Cabinet,Norway
Nordli's Cabinet,Odvar Nordli,Bratteli's Second Cabinet,Norway
Stolojan I Cabinet,Theodor Stolojan,Roman II Cabinet,Romania
Vasile I Cabinet,Radu Vasile,Ciorbea I Cabinet,Romania
Hansson II cabinet,Per Albin Hansson,Pehrsson-Bramstorp cabinet,Sweden
Roman I Cabinet,Petre Roman,Dăscălescu II Cabinet,Romania
Isărescu I Cabinet,Mugur Isărescu,Vasile I Cabinet,Romania
Roman II Cabinet,Petre Roman,Roman I Cabinet,Romania
Second cabinet of Steingrímur Hermannsson,Steingrímur Hermannsson,Cabinet of Þorsteinn Pálsson,Iceland
Cabinet Erdoğan II,Recep Tayyip Erdoğan,Cabinet Erdoğan I,Turkey
