col0,col1,col2,col3,col4,col5,col6
1988 US Open Badminton Championships,1988-01-01,1987 US Open Badminton Championships,United States of America,1988 US Open Badminton Championships – Men's singles,Pasadena,WikiProject Badminton/tournament focus list
1973 US Open Badminton Championships,1973-01-01,1972 US Open Badminton Championships,United States of America,1973 US Open Badminton Championships – Men's singles,New Britain,WikiProject Badminton/tournament focus list
1971 US Open Badminton Championships,1971-01-01,1970 US Open Badminton Championships,United States of America,1971 US Open Badminton Championships – Men's singles,Las Vegas,WikiProject Badminton/tournament focus list
1955 US Open Badminton Championships,1955-01-01,1954 US Open Badminton Championships,United States of America,1955 US Open Badminton Championships – Men's singles,Long Beach,WikiProject Badminton/tournament focus list
1994 US Open Badminton Championships,1994-01-01,1993 US Open Badminton Championships,United States of America,1994 US Open Badminton Championships – Mixed doubles,Los Angeles,WikiProject Badminton/tournament focus list
1993 US Open Badminton Championships,1993-01-01,1992 US Open Badminton Championships,United States of America,1993 US Open Badminton Championships – Mixed doubles,Los Angeles,WikiProject Badminton/tournament focus list
1994 US Open Badminton Championships,1994-01-01,1993 US Open Badminton Championships,United States of America,1994 US Open Badminton Championships – Women's doubles,Los Angeles,WikiProject Badminton/tournament focus list
1993 US Open Badminton Championships,1993-01-01,1992 US Open Badminton Championships,United States of America,1993 US Open Badminton Championships – Women's doubles,Los Angeles,WikiProject Badminton/tournament focus list
1994 US Open Badminton Championships,1994-01-01,1993 US Open Badminton Championships,United States of America,1994 US Open Badminton Championships – Women's singles,Los Angeles,WikiProject Badminton/tournament focus list
1993 US Open Badminton Championships,1993-01-01,1992 US Open Badminton Championships,United States of America,1993 US Open Badminton Championships – Women's singles,Los Angeles,WikiProject Badminton/tournament focus list
