col0,col1,col2,col3,col4,col5
Barron County,Barron,1874-01-01,Henry D. Barron,Barron County,Barron
Polk County,Balsam Lake,1853-01-01,James K. Polk,Polk County,Balsam Lake
Pierce County,Ellsworth,1853-01-01,Franklin Pierce,Pierce County,Ellsworth
Langlade County,Antigo,1879-01-01,Charles Michel de Langlade,Langlade County,Antigo
Taylor County,Medford,1875-01-01,William Robert Taylor,Taylor County,Medford
Bayfield County,Washburn,1835-01-01,Henry Wolsey Bayfield,Bayfield County,Washburn
Sawyer County,Hayward,1883-01-01,Philetus Sawyer,Sawyer County,Hayward
Jackson County,Black River Falls,1853-01-01,Andrew Jackson,Jackson County,Black River Falls
Columbia County,Portage,1846-01-01,Christopher Columbus,Columbia County,Portage
Rock County,Janesville,1839-01-01,Rock River,Rock County,Janesville
Outagamie County,Appleton,1852-01-01,Meskwaki,Outagamie County,Appleton
Brown County,Green Bay,1818-01-01,Jacob Brown,Brown County,Green Bay
Dane County,Madison,1836-01-01,Nathan Dane,Dane County,Madison
Racine County,Racine,1836-01-01,Root River,Racine County,Racine
Burnett County,Siren,1865-01-01,Thomas P. Burnett,Burnett County,Meenon
