col0,col1,col2,col3,col4
Ice hockey at the 1956 Winter Olympics,Italy,1956-01-01,Olympic sports discipline event,Ice hockey at the 1960 Winter Olympics
Ice hockey at the 1952 Winter Olympics,Norway,1952-01-01,Olympic sports discipline event,Ice hockey at the 1956 Winter Olympics
Ice hockey at the 1988 Winter Olympics,Canada,1988-01-01,Olympic sports discipline event,Ice hockey at the 1992 Winter Olympics
Ice hockey at the 1984 Winter Olympics,Bosnia and Herzegovina,1984-01-01,Olympic sports discipline event,Ice hockey at the 1988 Winter Olympics
Ice hockey at the 1924 Winter Olympics,France,1924-01-01,Olympic sports discipline event,Ice hockey at the 1928 Winter Olympics
Ice hockey at the 1992 Winter Olympics,France,1992-01-01,Olympic sports discipline event,Ice hockey at the 1994 Winter Olympics
Ice hockey at the 1928 Winter Olympics,Switzerland,1928-01-01,Olympic sports discipline event,Ice hockey at the 1932 Winter Olympics
Ice hockey at the 1994 Winter Olympics,Norway,1994-01-01,Olympic sports discipline event,Ice hockey at the 1998 Winter Olympics
ice hockey at the 2006 Winter Olympics,Italy,2006-01-01,Olympic sports discipline event,Ice hockey at the 2010 Winter Olympics
Ice hockey at the 2002 Winter Olympics,United States of America,2002-01-01,Olympic sports discipline event,ice hockey at the 2006 Winter Olympics
Ice hockey at the 1956 Winter Olympics,Italy,1956-01-01,Ice hockey at the Olympic Games,Ice hockey at the 1960 Winter Olympics
Ice hockey at the 1952 Winter Olympics,Norway,1952-01-01,Ice hockey at the Olympic Games,Ice hockey at the 1956 Winter Olympics
