col0,col1,col2,col3,col4,col5
Suhl,urban district of Thuringia,Thuringia,Germany,422,103.02
Interlaken,city of Switzerland,canton of Bern,Switzerland,568,4.27
Putbus,urban municipality of Germany,Vorpommern-Rügen District,Germany,50,66.6
Werder,urban municipality of Germany,Potsdam-Mittelmark District,Germany,31,115.99
Bad Bibra,urban municipality of Germany,Burgenlandkreis,Germany,152,49.76
Sassnitz,urban municipality of Germany,Vorpommern-Rügen District,Germany,30,47.07
Alsfeld,urban municipality of Germany,Vogelsbergkreis,Germany,268,129.69
Zierenberg,urban municipality of Germany,Kassel,Germany,309,86.53
Besigheim,urban municipality of Germany,Ludwigsburg,Germany,202,16.83
Suhl,urban municipality of Germany,Thuringia,Germany,422,103.02
Wassenach,Ortsgemeinde of Rhineland-Palatinate,Brohltal,Germany,288,6.16
El Gouna,kitesurf spot,Red Sea Governorate,Egypt,8,36.8
Abastumani,Daba,Adigeni Municipality,Georgia,1250,19.54
Palm Springs,charter city,Riverside County,United States of America,146,245.98622
Sassnitz,port settlement,Vorpommern-Rügen District,Germany,30,47.07
