col0,col1,col2,col3,col4
Augusta,197166,1736-01-01,UTC−05:00,Richmond County
Bainbridge,12697,1765-01-01,UTC−05:00,Decatur County
Columbus,189885,1828-01-01,Eastern Time Zone,Muscogee County
Gainesville,33804,1818-01-01,UTC−05:00,Hall County
Washington,4295,1774-01-01,UTC−05:00,Wilkes County
Lawrenceville,29837,1821-01-01,Eastern Time Zone,Gwinnett County
Abbeville,2298,1883-09-15,UTC−05:00,Wilcox County
Roswell,94089,1830-01-01,Eastern Time Zone,Fulton County
Atlanta,486290,1845-12-29,UTC−05:00,Fulton County
Brookhaven,51029,2012-01-01,Eastern Time Zone,DeKalb County
