col0,col1,col2,col3,col4,col5,col6,col7
Wood Buffalo National Park,Regional Municipality of Wood Buffalo,Improvement District No. 24 Wood Buffalo,IUCN category II: National Park,Parks Canada,1922-12-18,Canada,44792
Banff National Park,Banff,Improvement District No. 09 (Banff National Park),IUCN category II: National Park,Parks Canada,1885-11-25,Canada,6641
Jasper National Park,Jasper,Improvement District No. 12 (Jasper National Park),IUCN category II: National Park,Parks Canada,1907-09-14,Canada,10878
Terra Nova National Park,Grand Falls-Windsor,"Division No. 7, Newfoundland and Labrador",IUCN category II: National Park,Parks Canada,1957-01-01,Canada,399.9
Kouchibouguac National Park,Miramichi,Carleton Parish,IUCN category II: National Park,Parks Canada,1979-01-15,Canada,239.2
Gros Morne National Park,Corner Brook,"Division No. 5, Newfoundland and Labrador",IUCN category II: National Park,Parks Canada,2005-10-01,Canada,1805
Waterton Lakes National Park,Pincher Creek,Improvement District No. 04 (Waterton),IUCN category II: National Park,Parks Canada,1895-05-20,Canada,505
Cape Breton Highlands National Park,Sydney,Inverness County,IUCN category II: National Park,Parks Canada,1936-06-23,Canada,948
Kejimkujik National Park,Halifax,Digby County,IUCN category II: National Park,Parks Canada,1974-01-01,Canada,403.7
Tuktut Nogait National Park,Paulatuk,"Region 1, Northwest Territories",IUCN category II: National Park,Parks Canada,1998-01-01,Canada,18181
Wood Buffalo National Park,Regional Municipality of Wood Buffalo,"Region 5, Northwest Territories",IUCN category II: National Park,Parks Canada,1922-12-18,Canada,44792
Nahanni National Park Reserve,Fort Simpson,"Region 4, Northwest Territories",IUCN category II: National Park,Parks Canada,1976-01-01,Canada,30000
