col0,col1,col2,col3,col4,col5,col6
Linares Province,Chile,286361,157,Colbún,Cauquenes Province,province of Chile
General Carrera Province,Chile,7531,1733,Río Ibáñez,Aysén Province,province of Chile
Magallanes Province,Chile,133282,44,Laguna Blanca,Antártica Chilena Province,province of Chile
Parinacota Province,Chile,3449,3467,General Lagos,Tacna Province,province of Chile
Arica Province,Chile,222619,3354,Camarones,Tamarugal Province,province of Chile
Arauco Province,Chile,166087,125,Arauco,Concepción Province,province of Chile
Antártica Chilena Province,Chile,2201,1,Cabo de Hornos,Magallanes Province,province of Chile
Antofagasta Province,Chile,398843,1382,Antofagasta,Chañaral Province,province of Chile
Concepción Province,Chile,995658,136,Concepción,Bío Bío province,province of Chile
Palena Province,Chile,18349,125,Chaitén,Aysén Province,province of Chile
