col0,col1,col2,col3
Okuizumo,Shimane Prefecture,Shōbara,Japan
Tosa,Kōchi Prefecture,Shikokuchūō,Japan
Ōsaki,Kagoshima Prefecture,Kanoya,Japan
Kōsa,Kamimashiki District,Uki,Japan
Misato,Shimomashiki District,Uki,Japan
Kōsa,Kumamoto Prefecture,Uki,Japan
Misato,Kumamoto Prefecture,Uki,Japan
Tsuno,Kōchi Prefecture,Susaki,Japan
Iwaizumi,Iwate Prefecture,Tanohata,Japan
Tosa,Kōchi Prefecture,Motoyama,Japan
Misato,Saitama Prefecture,Fukaya,Japan
Misato,Shimomashiki District,Yatsushiro,Japan
Yamato,Kumamoto Prefecture,Yatsushiro,Japan
Misato,Kumamoto Prefecture,Yatsushiro,Japan
