col0,col1,col2,col3
Violin Concerto No. 4,orchestra,Wolfgang Amadeus Mozart,1775-01-01
Rondo in C for Violin and Orchestra,oboe,Wolfgang Amadeus Mozart,1781-01-01
Violin Concerto No. 5,violin,Wolfgang Amadeus Mozart,1775-01-01
Violin Concerto No. 4,violin,Wolfgang Amadeus Mozart,1775-01-01
Rondo in C for Violin and Orchestra,violin,Wolfgang Amadeus Mozart,1781-01-01
Adagio in E for Violin and Orchestra,violin,Wolfgang Amadeus Mozart,1776-01-01
Violin Concerto No. 3,violin,Wolfgang Amadeus Mozart,1775-01-01
Violin concerto No. 4,violin,Aarre Merikanto,1954-01-01
Violin Concerto No. 2,violin,Henryk Wieniawski,1875-01-01
Carmen Fantasy,violin,Pablo de Sarasate,1882-01-01
Violin Concerto,violin,György Ligeti,1990-01-01
Violin Concerto No. 1,violin,Dmitri Shostakovich,1948-01-01
Concerto for Violin and Strings,violin,Felix Mendelssohn,1822-01-01
"Concerto No. 4 in F minor, Op. 8, RV 297",orchestra,Antonio Vivaldi,1725-01-01
"Concerto No. 3 in F major, Op. 8, RV 293",orchestra,Antonio Vivaldi,1725-01-01
