col0,col1,col2,col3,col4
Caecilia gens,ancient Rome,Caecilius Metellus,feminine,1870 Dictionary of Greek and Roman Biography and Mythology
Aemilia gens,ancient Rome,Aemilii Paulli,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Calpurnia gens,ancient Rome,Calpurnii Pisones,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Licinia gens,ancient Rome,Licinii Murenae,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Sempronia gens,ancient Rome,Sempronii Gracchi,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Cornelia gens,ancient Rome,Cornelii Lentuli,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Licinia gens,ancient Rome,Licinii Luculli,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Cornelia gens,ancient Rome,Cornelius Maluginensis,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Licinia gens,ancient Rome,Licinii Crassi,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Sempronia gens,ancient Rome,Sempronii Atratini,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Aemilia gens,ancient Rome,Aemilii Lepidi,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Claudia gens,ancient Rome,Klaudiusz Marcellus,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Julia gens,ancient Rome,Julii Caesares,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Licinia gens,ancient Rome,Licinius Calvus,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
Aemilia gens,ancient Rome,Aemilii Regilli,feminine,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
