col0,col1,col2,col3,col4,col5,col6
Ontario Sports Hall of Fame athlete ID,Bobby Orr,single value constraint,Canada,Ontario Sports Hall of Fame,Ontario,Wikidata property related to a sports hall of fame
Nova Scotia Sport Hall of Fame ID,Tracy Cameron,single value constraint,Canada,Nova Scotia Sport Hall of Fame,Nova Scotia,Wikidata property related to a sports hall of fame
Panthéon des sports du Québec ID,Clara Hughes,single value constraint,Canada,Panthéon des sports du Québec,Quebec,Wikidata property for authority control for people
New Brunswick Sports Hall of Fame athlete ID,Roland Melanson,single value constraint,Canada,New Brunswick Sports Hall of Fame,New Brunswick,Wikidata property for authority control for people
Manitoba Sports Hall of Fame athlete ID,Chris Walby,single value constraint,Canada,Manitoba Sports Hall of Fame,Manitoba,Wikidata property for authority control for people
Ontario Sports Hall of Fame athlete ID,Bobby Orr,single value constraint,Canada,Ontario Sports Hall of Fame,Ontario,Wikidata property for authority control for people
Nova Scotia Sport Hall of Fame ID,Tracy Cameron,single value constraint,Canada,Nova Scotia Sport Hall of Fame,Nova Scotia,Wikidata property for authority control for people
South Australian Football Hall of Fame inductee ID,Alick Lill,single value constraint,Australia,South Australian Football Hall of Fame,South Australia,Wikidata property related to Australian rules football
Saskatchewan Sports Hall of Fame ID,Catriona Le May Doan,single value constraint,Canada,Saskatchewan Sports Hall of Fame,Saskatchewan,Wikidata property related to a sports hall of fame
Colorado Sports Hall of Fame ID,Shannon Sharpe,single value constraint,United States of America,Colorado Sports Hall of Fame,Colorado,Wikidata property related to a sports hall of fame
Iowa Sports Hall of Fame ID,Danny Harris,single value constraint,United States of America,Iowa Sports Hall of Fame,Iowa,Wikidata property related to a sports hall of fame
South Australian Football Hall of Fame inductee ID,Alick Lill,single value constraint,Australia,South Australian Football Hall of Fame,South Australia,Wikidata property related to a sports hall of fame
Colorado Sports Hall of Fame ID,Shannon Sharpe,single value constraint,United States of America,Colorado Sports Hall of Fame,Colorado,Wikidata property for authority control for people
Iowa Sports Hall of Fame ID,Danny Harris,single value constraint,United States of America,Iowa Sports Hall of Fame,Iowa,Wikidata property for authority control for people
