col0,col1,col2,col3
Jaguar Mark VII M,Jaguar Cars,1689,Jaguar Mark VIII
Hyundai ix35 FCEV,Hyundai Motor Company,1830,Hyundai Nexo
Aston Martin DB10,Aston Martin Lagonda,1500,Aston Martin DB11
Renault Type FD,Renault,540,Renault KJ
Renault Type II,Renault,1300,Renault KZ
BMW 1502,BMW,980,BMW 3 Series
Wartburg 312,Wartburg,935,Wartburg 353
Lloyd 400,North German Automobile and Engine,510,Lloyd 600
Ferrari 330 America,Ferrari,1490,Ferrari 330 GT 2+2
Vauxhall 14-6,Vauxhall,1080,Vauxhall Velox
Koenigsegg One:1,Koenigsegg,1250,Koenigsegg Regera
