col0,col1,col2,col3
Co-cathedral of Santa María de la Fuente la Mayor,Bien de Interés Cultural,Roman Catholic Diocese of Sigüenza-Guadalajara,Mudéjar style
Monzón Cathedral,Bien de Interés Cultural,Roman Catholic Diocese of Barbastro-Monzón,Mudéjar architecture
Church of Saint Stanislaus in Mahilioŭ,cultural property of Belarus,Roman Catholic Archdiocese of Minsk-Mohilev,baroque architecture
Monopoli Cathedral,Italian national heritage,Roman Catholic Diocese of Conversano-Monopoli,baroque architecture
Duomo di Pienza,Italian national heritage,Roman Catholic Diocese of Montepulciano-Chiusi-Pienza,Renaissance architecture
Penne Cathedral,Italian national heritage,Roman Catholic Archdiocese of Pescara-Penne,Renaissance architecture
Ōura Church,National Treasure,Roman Catholic Archdiocese of Nagasaki,Gothic Revival architecture
Bolzano cathedral,Cultural heritage monuments in South Tyrol,Roman Catholic Diocese of Bolzano-Brixen,Gothic architecture
Burgo de Osma Cathedral,Bien de Interés Cultural,Roman Catholic Diocese of Osma-Soria,Gothic architecture
Cathedral of Santa María of Calahorra,Bien de Interés Cultural,Roman Catholic Diocese of Calahorra y La Calzada-Logroño,Gothic architecture
Co-cathedral of Santa María de la Redonda,Bien de Interés Cultural,Roman Catholic Diocese of Calahorra y La Calzada-Logroño,Gothic architecture
Penne Cathedral,Italian national heritage,Roman Catholic Archdiocese of Pescara-Penne,Gothic architecture
Barbastro Cathedral,Bien de Interés Cultural,Roman Catholic Diocese of Barbastro-Monzón,Gothic architecture
Basilica of Our Lady of the Pillar,Bien de Interés Cultural,Roman Catholic Archdiocese of Zaragoza,Rococo
