col0,col1,col2,col3
Eniwa,Ishikari Subprefecture,1970-01-01,Waki
Hatsukaichi,Hiroshima Prefecture,1988-04-01,Masterton
Ayabe,Kyōto Prefecture,1950-08-01,Changshu
Asago,Hyōgo Prefecture,2005-04-01,Newberg
Kameyama,Mie Prefecture,1954-10-01,Gose
Eniwa,Ishikari Subprefecture,1970-01-01,Fujieda
Miyakojima,Okinawa Prefecture,2005-10-01,Muroran
Higashihiroshima,Hiroshima Prefecture,1974-04-20,Deyang
Iwamizawa,Sorachi Subprefecture,1943-04-01,Pocatello
Miyakojima,Okinawa Prefecture,2005-10-01,Keelung
Maizuru,Kyōto Prefecture,1943-05-27,Nakhodka
Gotemba,Shizuoka Prefecture,1955-01-01,Beaverton
Maizuru,Kyōto Prefecture,1943-05-27,Portsmouth
Fukaya,Saitama Prefecture,1955-01-01,Fremont
Tsuchiura,Ibaraki Prefecture,1940-01-01,Palo Alto
