col0,col1,col2,col3
Dives in Misericordia,Vatican City,Redemptor Hominis,1980-11-30
Centesimus Annus,Vatican City,Redemptoris Missio,1991-05-01
Ecclesia de Eucharistia,Vatican City,Fides et Ratio,2003-04-17
Populorum progressio,Vatican City,Christi Matri,1967-03-26
Mysterium Fidei,Vatican City,Mense Maio,1965-09-03
Sollicitudo Rei Socialis,Vatican City,Redemptoris Mater,1987-12-30
Humanae Vitae,Vatican City,Sacerdotalis Caelibatus,1968-07-25
Dominum et Vivificantem,Vatican City,Slavorum Apostoli,1986-05-18
Redemptoris Mater,Vatican City,Dominum et Vivificantem,1987-03-25
Fides et Ratio,Vatican City,Ut Unum Sint,1998-09-14
