col0,col1,col2,col3,col4
Thermes Lédonia,France,registered historic monument,thermae,Lons-le-Saunier
Rubricaire,France,monument historique classé,thermae,Sainte-Gemmes-le-Robert
Ravenglass Roman Bath House,United Kingdom,scheduled monument,thermae,Muncaster
Diane's Arch,France,monument historique classé,thermae,Cahors
Thermes de Cluny,France,monument historique classé,thermae,5th arrondissement of Paris
Roman Baths,United Kingdom,Grade I listed building,thermae,Bath
Baths of Titus,Italy,Italian national heritage,thermae,Rome
Forum baths,Germany,Kulturdenkmal,thermae,Rhineland-Palatinate
Barbara Baths,Germany,Kulturdenkmal,thermae,Trier
Baths of Caracalla,Italy,Italian national heritage,thermae,San Saba
Roman thermae of Lucus Augusti,Spain,Bien de Interés Cultural,archaeological site,Lugo
Roman thermae of Torreblanca del Sol,Spain,Bien de Interés Cultural,archaeological site,Fuengirola
