col0,col1,col2,col3,col4,col5
2019 Hobart International,tennis,2019 Hobart International – Singles,2018 Hobart International,Hobart International,2019-01-07
2018 Hobart International,tennis,2018 Hobart International – Singles,2017 Hobart International,Hobart International,2018-01-07
2017 Hobart International,tennis,2017 Hobart International – Singles,2016 Hobart International,Hobart International,2017-01-08
2016 Hobart International,tennis,2016 Hobart International – Singles,2015 Hobart International,Hobart International,2016-01-11
2015 Hobart International,tennis,2015 Hobart International – Singles,2014 Moorilla Hobart International,Hobart International,2015-01-17
2014 Moorilla Hobart International,tennis,2014 Moorilla Hobart International – Singles,2013 Moorilla Hobart International,Hobart International,2014-01-11
2002 ANZ Tasmanian International,tennis,2002 ANZ Tasmanian International – Doubles,2001 ANZ Tasmanian International,Hobart International,2002-01-06
2001 ANZ Tasmanian International,tennis,2001 ANZ Tasmanian International – Doubles,2000 ANZ Tasmanian International,Hobart International,2001-01-07
2000 ANZ Tasmanian International,tennis,2000 ANZ Tasmanian International – Singles,1999 ANZ Tasmanian International,Hobart International,2000-01-09
1999 ANZ Tasmanian International,tennis,1999 ANZ Tasmanian International – Doubles,1998 ANZ Tasmanian International,Hobart International,1999-01-11
1998 ANZ Tasmanian International,tennis,1998 ANZ Tasmanian International – Doubles,1997 ANZ Tasmanian International,Hobart International,1998-01-09
1997 ANZ Tasmanian International,tennis,1997 ANZ Tasmanian International – Singles,1996 Schweppes Tasmanian International,Hobart International,1997-01-06
2005 Moorilla International,tennis,2005 Moorilla Hobart International – Doubles,2004 Moorilla International,Hobart International,2005-01-10
2003 Moorilla Hobart International,tennis,2003 Moorilla Hobart International – Doubles,2002 ANZ Tasmanian International,Hobart International,2003-01-05
2007 Moorilla Hobart International,tennis,2007 Moorilla Hobart International – Singles,2006 Moorilla Hobart International,Hobart International,2007-01-07
