col0,col1,col2,col3,col4,col5,col6,col7
quai du Louvre,quai François-Mitterrand,France,pier,Louvre Palace,1st arrondissement of Paris,80,32.8
quai du Lot,boulevard Macdonald,France,pier,Lot,19th arrondissement of Paris,345,7.5
quai des Orfèvres,boulevard du Palais,France,pier,goldsmithing,1st arrondissement of Paris,366,14
quai des Célestins,boulevard Henri-IV,France,pier,Couvent des Célestins,4th arrondissement of Paris,400,28
quai de la Seine,place de la Bataille-de-Stalingrad,France,pier,Seine,19th arrondissement of Paris,850,12
quai de la Rapée,avenue Ledru-Rollin,France,pier,fief de la Rapée,12th arrondissement of Paris,890,19
quai Voltaire,rue du Bac,France,pier,Voltaire,7th arrondissement of Paris,308,21
quai François-Mitterrand,place du Carrousel,France,pier,François Mitterrand,1st arrondissement of Paris,710,22
quai Branly,quai d'Orsay,France,pier,Édouard Branly,15th arrondissement of Paris,1360,61
quai de l'Horloge,boulevard du Palais,France,pier,tour de l'Horloge,1st arrondissement of Paris,352,8.5
quai d'Austerlitz,avenue Pierre-Mendès-France,France,pier,Pont d'Austerlitz,13th arrondissement of Paris,901,24.5
quai de Bourbon,quai d'Anjou,France,pier,House of Bourbon,4th arrondissement of Paris,367,8
