col0,col1,col2,col3
Mazandaran Province,province of Iran,Caspian Sea,Turkmen
Khuzestan Province,province of Iran,Bushehr Province,Mandaic
Hamadan Province,province of Iran,Kurdistan Province,Vafsi
North Khorasan Province,province of Iran,Golestan Province,Turkmen
East Azerbaijan Province,province of Iran,Ardabil Province,Armenian
Kermanshah Province,province of Iran,Lorestan Province,Gorani language
South Khorasan Province,province of Iran,Farah,Southern Pashto
Ilam Province,province of Iran,Diyala Governorate,Laki
Yazd Province,province of Iran,Kerman Province,Zoroastrian Dari
Golestan Province,province of Iran,Mazandaran Province,Turkmen
Semnan Province,province of Iran,Qom Province,Mazanderani
