col0,col1,col2,col3,col4
Amaranth,1980-01-01,118.36,chemical tanker,Palau
Tatiana-B,2008-01-01,89.2,chemical tanker,France
Vinlandia,1979-01-01,103.4,chemical tanker,Panama
Atlantis Alicante,2017-01-01,105.5,chemical tanker,Malta
Stolt Ilex,2010-01-01,144,chemical tanker,Liberia
Chemical Challenger,2015-01-01,134.03,chemical tanker,Panama
Emma Victory,1996-01-01,181,chemical tanker,Norway
Meteora,2009-01-01,176,chemical tanker,Italy
STI Poplar,2014-01-01,184,chemical tanker,Marshall Islands
Stena Paris,2005-01-01,182.9,chemical tanker,Bermuda
Blue Jade,2009-01-01,183,tanker,United Kingdom
Atlantis Araceli,2007-01-01,107.6,tanker,Malta
