col0,col1,col2,col3,col4,col5,col6,col7
Gamma Cassiopeiae,-3.92,-4.8,Cassiopeia,117,gamma-ray source,27990,14.17721542
Omicron Cassiopeiae,-8.151,-18.7,Cassiopeia,212.5579,infrared source,15488,11.18132777083
EZ Aquarii,2295.3,-60,Aquarius,3.4,infrared source,2952,339.6399
37 Ceti A,123.66,22.11,Cetus,23.9061,suspected variable,6502,18.6001718872637
Polaris,-11.85,-20.81,Ursa Minor,432,classical Cepheid variable,6206,37.95456067
37 Ceti A,123.66,22.11,Cetus,23.9061,high proper-motion star,6502,18.6001718872637
EZ Aquarii,2295.3,-60,Aquarius,3.4,astrophysical X-ray source,2952,339.6399
Gamma Cassiopeiae,-3.92,-4.8,Cassiopeia,117,astrophysical X-ray source,27990,14.17721542
37 Ceti A,123.66,22.11,Cetus,23.9061,triple star system,6502,18.6001718872637
Omicron Cassiopeiae,-8.151,-18.7,Cassiopeia,212.5579,triple star system,15488,11.18132777083
28 Andromedae,-55.668,-10.3,Andromeda,61.1471,triple star system,7335,7.5306778429045
HD 4391,79.271,-11.01,Phoenix,14.9939,triple star system,5804,11.4399706900888
36 Ophiuchi,-1140.97,0.4,Ophiuchus,5.9603,triple star system,5108,258.83743307333
EZ Aquarii,2295.3,-60,Aquarius,3.4,triple star system,2952,339.6399
Gamma Cassiopeiae,-3.92,-4.8,Cassiopeia,117,triple star system,27990,14.17721542
